file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,183,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,0
style.css,184,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,26
style.css,185,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,16
style.css,186,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,17
style.css,187,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,8
style.css,188,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,189,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,190,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,38
style.css,191,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,17
style.css,192,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,59
style.css,193,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,16
style.css,194,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,24
style.css,195,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,21
style.css,196,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,1,68
style.css,197,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,198,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,0
style.css,199,css,a4fc0547,Vanshika S,2025-11-30,17:19:49,-08:00,2025-11-30T17:19:49-08:00,0,28
style.css,200,css,4ef6e4eb,Vanshika S,2025-11-30,17:15:28,-08:00,2025-11-30T17:15:28-08:00,0,17
